Source,total_bytes,packet_count,avg_packet_len,protocol_diversity,unique_destinations,cluster
104.22.11.135,11973,18,665.1666666666666,2,1,0
104.64.161.15,18234,40,455.85,2,1,2
104.64.170.226,30023,46,652.6739130434783,2,1,0
13.107.21.200,10351,13,796.2307692307693,2,1,0
13.107.42.12,13093,58,225.74137931034483,2,1,2
13.107.42.14,558271,1188,469.9250841750842,2,1,2
13.107.42.16,22635,35,646.7142857142857,2,1,0
13.107.5.88,15525,26,597.1153846153846,2,1,2
13.107.6.158,8391,20,419.55,2,1,2
13.69.67.230,16527,24,688.625,2,1,0
13.73.252.131,1494,20,74.7,2,1,2
137.116.227.55,2744530,2144,1280.097947761194,2,1,0
140.82.112.25,3201,48,66.6875,2,1,2
140.82.113.26,1600,24,66.66666666666667,2,1,2
140.82.114.25,4065,10,406.5,2,1,2
142.250.145.101,18142,28,647.9285714285714,2,1,0
142.250.153.192,5655,11,514.0909090909091,1,1,2
142.250.180.193,112840,142,794.6478873239437,2,1,0
142.250.180.194,532,5,106.4,2,1,2
142.250.180.195,36195,100,361.95,3,1,2
142.250.180.196,10989,41,268.0243902439024,3,1,2
142.250.180.202,27588,77,358.2857142857143,3,1,2
142.250.180.206,91957,115,799.6260869565217,2,1,0
142.250.180.227,13454,55,244.61818181818182,2,1,2
142.250.180.229,198398,319,621.9373040752351,2,1,0
142.250.180.234,145764,329,443.0516717325228,2,1,2
142.250.180.238,158052,311,508.20578778135047,3,1,2
142.250.201.195,6748,12,562.3333333333334,2,1,2
142.250.201.197,274734,431,637.4338747099767,2,1,0
142.250.201.202,10509,26,404.1923076923077,3,1,2
142.250.201.206,31617,82,385.5731707317073,3,1,2
142.250.201.214,55069,51,1079.7843137254902,2,1,0
142.250.27.188,11359,39,291.2564102564103,2,1,2
142.251.39.10,400337,434,922.4354838709677,3,1,0
142.251.39.14,6172,21,293.9047619047619,2,1,2
142.251.39.22,160017,143,1119.0,2,1,0
142.251.39.65,1096266,861,1273.2473867595818,2,1,0
142.251.39.66,18540,37,501.0810810810811,3,1,2
142.251.39.67,7185,16,449.0625,3,1,2
142.251.39.74,61823,175,353.2742857142857,2,1,2
142.251.39.78,154576,299,516.9765886287626,2,1,2
143.166.199.30,235,4,58.75,2,1,2
149.154.165.96,162,3,54.0,1,1,2
149.154.167.91,4885,29,168.44827586206895,2,1,2
157.181.151.5,671668,492,1365.178861788618,2,1,0
